,model,fp_types,seed,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_epoch,r2_score,pearson_r2,rmse,mse,mae,mape
30,FCNN,TorsionFP,1,0.436128329,1.884180244,1.195671391,0.990857213,0.876120564,0.937090775,175,0.926565519,0.937090775,1.195671391,1.429630076,0.764141215,0.125207449
31,FCNN,TorsionFP,2,0.439717617,1.425517598,0.753239805,0.990832179,0.882340656,0.975024123,516,0.970925481,0.975024123,0.753239805,0.567370204,0.544733964,0.101667469
32,FCNN,TorsionFP,4,0.464040929,2.093419452,1.248811603,0.989783802,0.806571911,0.91409161,274,0.897991094,0.91409161,1.248811603,1.55953042,0.90657365,0.12722854
33,FCNN,TorsionFP,8,0.465689682,1.378226947,1.675224348,0.988996903,0.91840837,0.888417597,1788,0.884905765,0.888417597,1.675224348,2.806376617,0.851630785,0.116351951
34,FCNN,TorsionFP,16,0.436320713,1.100845059,0.907576213,0.991063343,0.925288609,0.954051793,142,0.949241348,0.954051793,0.907576213,0.823694583,0.704249038,0.143806954
35,FCNN,TorsionFP,32,0.46060067,2.026627057,1.930699882,0.989104108,0.803845143,0.891952757,550,0.878335642,0.891952757,1.930699882,3.727602036,0.877749941,0.09866296
36,FCNN,TorsionFP,64,0.437823693,1.361716645,1.518750003,0.990815171,0.908801495,0.883363324,1018,0.881521494,0.883363324,1.518750003,2.306601572,0.780155428,0.114280482
37,FCNN,TorsionFP,128,0.436992267,1.861189352,1.351765941,0.991229489,0.852055706,0.905237305,146,0.893476215,0.905237305,1.351765941,1.827271158,0.888990998,0.158153779
38,FCNN,TorsionFP,256,0.38917759,1.163173364,1.426278144,0.992750465,0.930734888,0.895231883,650,0.894979587,0.895231883,1.426278144,2.034269345,0.716327992,0.122233805
39,FCNN,TorsionFP,512,0.4197077,1.104625159,1.174626463,0.991676513,0.92757476,0.9399984,346,0.937515518,0.9399984,1.174626463,1.379747327,0.758729982,0.109589699
average,,,,,,,,,,,0.911545766,0.918445957,1.318264379,1.846209334,0.779328299,0.121718309
st.p,,,,,,,,,,,0.030570678,0.029745095,0.329223875,0.886765006,0.104128677,0.017386954
,,,,,,,,,,,,,,,,
40,FCNN,AvalonFP,1,0.466436196,1.828466043,1.233858208,0.989610672,0.863307624,0.927760352,213,0.92179998,0.927760352,1.233858208,1.522406077,0.703491753,0.109270561
41,FCNN,AvalonFP,2,0.477108745,1.080383688,0.655489439,0.989874306,0.930421663,0.979339183,619,0.977982023,0.979339183,0.655489439,0.429666404,0.492722617,0.070663292
42,FCNN,AvalonFP,4,0.488025733,1.637764468,1.387056009,0.98869851,0.88281738,0.886849018,92,0.874156081,0.886849018,1.387056009,1.923924371,0.901453091,0.120545735
43,FCNN,AvalonFP,8,0.49106577,1.272875555,1.589668565,0.987765891,0.929888501,0.898835163,535,0.896361578,0.898835163,1.589668565,2.527046148,0.749236528,0.100970817
44,FCNN,AvalonFP,16,0.491090616,0.832593235,0.767295847,0.988680884,0.956189917,0.965414601,130,0.963719809,0.965414601,0.767295847,0.588742916,0.570120999,0.106277718
45,FCNN,AvalonFP,32,0.47950227,1.783857526,1.974262978,0.988200722,0.848319404,0.883677735,423,0.872783386,0.883677735,1.974262978,3.897714306,0.810180532,0.082943139
46,FCNN,AvalonFP,64,0.464053851,1.329002155,1.442065831,0.989681909,0.913773587,0.893885981,244,0.893183792,0.893885981,1.442065831,2.079553862,0.758273629,0.104810334
47,FCNN,AvalonFP,128,0.461406389,1.170114078,1.426701838,0.990205694,0.923015143,0.88675023,293,0.881338447,0.88675023,1.426701838,2.035478135,0.646951052,0.087757008
48,FCNN,AvalonFP,256,0.419565229,1.101550419,1.683610469,0.991582751,0.944117609,0.858860476,5658,0.853664902,0.858860476,1.683610469,2.834544213,0.745825064,0.154235217
49,FCNN,AvalonFP,512,0.437639718,1.381900169,1.189075136,0.990955181,0.890448161,0.939461929,311,0.935968864,0.939461929,1.189075136,1.413899679,0.677081822,0.08215312
average,,,,,,,,,,,0.907095886,0.912083467,1.334908432,1.925297611,0.705533709,0.101962694
st.p,,,,,,,,,,,0.03920515,0.037131758,0.378572436,0.977871951,0.111139984,0.022570955
,,,,,,,,,,,,,,,,
50,FCNN,EstateFP,1,0.935554214,2.539725729,1.506687513,0.957226177,0.751632013,0.892033347,2432,0.883393508,0.892033347,1.506687513,2.270107262,0.90178196,0.197764119
51,FCNN,EstateFP,2,1.253214621,2.317360115,1.023208279,0.925522933,0.744186082,0.946462439,2280,0.94634946,0.946462439,1.023208279,1.046955181,0.645654419,0.097955367
52,FCNN,EstateFP,4,1.145062558,1.890416346,1.345028178,0.937780199,0.8425055,0.905524195,3282,0.881666692,0.905524195,1.345028178,1.809100799,0.838035253,0.125729978
