,model,fp_types,seed,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_epoch,r2_score,pearson_r2,rmse,mse,mae,mape
81,FCNN,PharmacoPFP_CC,2,0.377900786,1.461255284,0.733948685,0.994816881,0.904574248,0.974717292,368,0.972395658,0.974717292,0.733948685,0.538680673,0.566120325,0.105542412
82,FCNN,PharmacoPFP_CC,4,0.346990311,1.257549818,0.837371518,0.994900739,0.943632766,0.955304233,956,0.954135083,0.955304233,0.837371518,0.70119106,0.528584879,0.087816213
83,FCNN,PharmacoPFP_CC,8,0.320118727,1.57321111,1.399583935,0.996155531,0.914750527,0.937188452,199,0.919664867,0.937188452,1.399583935,1.958835192,0.928049314,0.2257661
84,FCNN,PharmacoPFP_CC,16,0.253911956,0.951536552,0.672313423,0.997111091,0.943104929,0.973247035,232,0.972146009,0.973247035,0.672313423,0.452005338,0.510031715,0.123172384
85,FCNN,PharmacoPFP_CC,32,0.280085778,1.255081206,1.71851079,0.996106934,0.924649055,0.912146932,1086,0.903608585,0.912146932,1.71851079,2.953279334,0.925035831,0.179316803
86,FCNN,PharmacoPFP_CC,64,0.279428936,1.437796495,1.081024133,0.996796064,0.911114266,0.947500646,533,0.939974227,0.947500646,1.081024133,1.168613176,0.710297982,0.158393345
87,FCNN,PharmacoPFP_CC,128,0.284266075,1.415123034,0.826319282,0.996284161,0.916836711,0.975129605,1896,0.960194841,0.975129605,0.826319282,0.682803555,0.50999061,0.095044215
88,FCNN,PharmacoPFP_CC,256,0.316718132,1.244874376,1.187343652,0.995217108,0.92169316,0.92907016,616,0.92721898,0.92907016,1.187343652,1.409784949,0.613342891,0.142863881
89,FCNN,PharmacoPFP_CC,512,0.248464811,1.350663315,1.132614212,0.997422312,0.904206112,0.944177481,333,0.941905285,0.944177481,1.132614212,1.282814953,0.791232713,0.120748393
90,FCNN,PubChemFP_CC,1,0.489004277,1.510637377,1.043350464,0.989171489,0.907140353,0.947576609,604,0.944083912,0.947576609,1.043350464,1.088580192,0.667711007,0.10699726
91,FCNN,PubChemFP_CC,2,0.578517233,1.153859987,0.880058627,0.987080396,0.938825436,0.961960947,417,0.960311086,0.961960947,0.880058627,0.774503186,0.569907434,0.115912949
92,FCNN,PubChemFP_CC,4,0.508300548,2.036984188,1.038048198,0.988092002,0.819805656,0.933481204,271,0.929517828,0.933481204,1.038048198,1.077544062,0.729110411,0.098638167
93,FCNN,PubChemFP_CC,8,0.462137347,1.178632464,1.363667808,0.989236242,0.947499512,0.928635217,272,0.923735084,0.928635217,1.363667808,1.85958989,0.722225516,0.137225542
94,FCNN,PubChemFP_CC,16,0.576037881,0.840241746,0.62989791,0.985497588,0.954474202,0.975946015,235,0.975549699,0.975946015,0.62989791,0.396771377,0.464783757,0.100326502
95,FCNN,PubChemFP_CC,32,0.447764737,1.454101623,1.642687005,0.989706871,0.900781133,0.913796242,5524,0.911926862,0.913796242,1.642687005,2.698420596,0.922156926,0.1456191
