n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,colsample_bylevel,max_delta_step,average_r2
1800.0,8.0,0.01,0.8,0.9,0.18458767246582933,2.6750200051828905,0.07257123999067615,0.9,1.0,0.9619494592321169
1900.0,9.0,0.01,0.8,0.9,0.16444807025647112,2.613421816368854,0.0637823860369545,0.9,1.0,0.9618002799565584
1900.0,8.0,0.01,0.8,0.9,0.18285882707245005,2.6111717573985476,0.0695305953368039,0.9,1.0,0.9617325436444923
1800.0,9.0,0.01,0.8,0.9,0.15051647857539355,2.7125798026033476,0.0507387893202769,0.9,1.0,0.9618491454566052
1800.0,9.0,0.01,0.8,0.9,0.15070832537404427,2.7769397840292687,0.01188126444048828,0.9,1.0,0.9623037367654227
1800.0,8.0,0.01,0.8,0.9,0.18807416851487388,2.9947994384168113,0.0001323436042444323,0.9,1.0,0.961933905771987
1800.0,9.0,0.01,0.8,0.9,0.16740654161429924,2.814381400953634,0.012243326767254875,0.9,1.0,0.961890782542463
1800.0,8.0,0.01,0.8,0.9,0.19930700574730595,2.8499572972652505,0.015437802751509855,0.9,1.0,0.9619861518878817
1800.0,9.0,0.01,0.8,0.9,0.1916325658975785,2.8320934344788187,0.016787576741054504,0.9,1.0,0.9620664130607899
1800.0,9.0,0.01,0.8,0.9,0.1777271273915109,2.9980311051375543,0.018500635324902516,0.9,1.0,0.9621368596507409
1800.0,9.0,0.01,0.8,0.9,0.17841315641267944,2.959425600745947,0.021413888762163363,0.9,1.0,0.9620894245482724
1800.0,9.0,0.01,0.8,0.9,0.18492579121429858,2.532061934006091,0.034517888790108905,0.9,1.0,0.9618215101508802
1800.0,9.0,0.01,0.8,0.9,0.16825014164190144,2.6664172880863197,0.008348058391406198,0.9,1.0,0.9618688518562122
1800.0,8.0,0.01,0.8,0.9,0.18966471624218478,2.5773735180820916,0.09985137405223371,1.0,1.0,0.9618222659875378
1800.0,8.0,0.01,0.8,0.9,0.16030621303007633,2.398861941138529,0.03898495958943573,0.9,1.0,0.962041784505838
1800.0,9.0,0.01,0.8,0.9,0.17867660644003258,2.9285960955801196,0.01935970038980462,0.9,1.0,0.9617414461141417
