n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,colsample_bylevel,max_delta_step,average_r2
1800.0,9.0,0.01,0.8,0.9,0.17240608726814796,2.959010970129439,0.02307163126779497,0.9,1.0,0.9620586553486854
1800.0,9.0,0.01,0.8,0.9,0.19034752295949603,2.900244087430045,0.0023275460868424983,0.9,1.0,0.9623217374948465
1800.0,9.0,0.01,0.8,0.9,0.18911095072650888,2.9914266160862772,0.0019013051098458068,0.9,1.0,0.9620203257247464
1800.0,9.0,0.01,0.8,0.9,0.19067544507644962,2.896596936522713,0.014055937666899372,0.9,1.0,0.9619281689756678
1800.0,9.0,0.01,0.8,0.9,0.19394456782688332,2.800901279392939,0.009671839120219242,0.9,1.0,0.9620712789918511
1800.0,9.0,0.01,0.8,0.9,0.18686677002246135,2.8484619648936245,0.005325903102539803,0.9,1.0,0.9618616859551521
1800.0,9.0,0.01,0.8,0.9,0.19618282181326074,2.7588031958345414,0.07931888064109538,0.9,1.0,0.9621985372747466
1800.0,9.0,0.01,0.8,0.9,0.19573329324529662,2.5825636025586327,0.07784231839125527,0.9,1.0,0.9619875121905705
1800.0,9.0,0.01,0.8,0.9,0.19275336676441557,2.682605099227576,0.0900587715731226,0.9,1.0,0.9620747504716032
1800.0,9.0,0.01,0.8,0.9,0.19756530584982684,2.509065941496703,0.07911363430184859,0.9,1.0,0.9621920140424163
1800.0,9.0,0.01,0.8,0.9,0.19522500038708118,2.641875250525078,0.0968975618517606,0.9,1.0,0.9619124338872904
1800.0,9.0,0.01,0.8,0.9,0.18721734016876834,2.7377987507812196,0.08319618331681969,0.9,1.0,0.9624334744199909
1800.0,9.0,0.01,0.8,0.9,0.1869513175438206,2.7254890243130685,0.08493246276500675,0.9,1.0,0.9617373265742832
1800.0,9.0,0.01,0.8,0.9,0.18131392278373593,2.5354905546516373,0.07592072759733584,0.9,1.0,0.962338057394857
1800.0,9.0,0.01,0.8,0.9,0.18451558858819264,2.3406700796039552,0.0762073599281507,0.9,1.0,0.9619321078291868
1800.0,9.0,0.01,0.8,0.9,0.18798361663437213,2.546592439267563,0.09199261823824659,0.9,1.0,0.9617757531599155
1800.0,9.0,0.01,0.8,0.9,0.18196050283744253,2.235597788039306,0.07329439517098947,0.9,1.0,0.9619065665274646
1800.0,9.0,0.01,0.8,0.8,0.18437170148101475,2.4289311205494926,0.0824506386606978,1.0,1.0,0.9619982633864146
1800.0,9.0,0.01,0.8,0.9,0.1999283479641655,2.6103635166134276,0.06098791486722001,0.9,1.0,0.9618019413244527
1800.0,9.0,0.01,0.8,0.8,0.1913103391026637,2.696444905897036,0.09956047757376724,1.0,1.0,0.9617556617410173
1800.0,9.0,0.01,0.8,0.9,0.18239184927487048,2.5257743127516843,0.07571325374908988,0.9,1.0,0.961828371151824
1800.0,8.0,0.01,0.8,0.9,0.17637284836508715,2.866225116641139,0.05325449205345331,0.9,1.0,0.9617521717820825
1800.0,9.0,0.01,0.8,0.9,0.18374443552553962,2.5656544448088705,0.08946916313945089,0.9,1.0,0.9618124817331744
1800.0,9.0,0.01,0.8,0.9,0.17386649696186762,2.4139864510442424,0.06663147706365627,0.9,1.0,0.9621185273992975
1800.0,9.0,0.01,0.9,0.9,0.17746042699354309,2.8494825142106426,0.07524590917300489,0.9,1.0,0.9619510213568645
1800.0,9.0,0.01,0.8,0.8,0.18102432238452154,2.4459914904738462,0.09442527955995564,1.0,1.0,0.9618031152664612
1800.0,8.0,0.01,0.8,0.9,0.18879020726227683,2.7469082335980417,0.047316662699357935,0.9,1.0,0.9617907753848336
1800.0,9.0,0.01,0.8,0.9,0.19675431024917095,2.631943351191733,0.08499972386480997,0.9,1.0,0.9618173235261509
1800.0,8.0,0.01,0.8,0.9,0.17172446583785841,2.780089086671778,0.04225793080915783,1.0,1.0,0.9617741481765485
1800.0,9.0,0.01,0.9,0.9,0.19877237470306727,2.688119040282758,0.09071734213382754,0.9,1.0,0.9617821016513892
1800.0,9.0,0.01,0.8,0.9,0.18306509734687912,2.663291615681464,0.035495046563448346,0.9,1.0,0.9619179976386734
1800.0,9.0,0.01,0.8,0.9,0.18537086996870578,2.517720467145116,0.08757058236825219,0.9,1.0,0.9621055154031326
1800.0,8.0,0.01,0.8,0.9,0.19446781174021877,2.5927744057626474,0.04503170975730077,0.9,1.0,0.9617715432434426
1800.0,9.0,0.01,0.8,0.9,0.18412805072509766,2.8944427712596847,0.08046245783589936,1.0,1.0,0.9618115693964379
1800.0,8.0,0.01,0.8,0.9,0.19209330002802505,2.3473971747805744,0.051162498948487595,0.9,1.0,0.9620683805434791
1800.0,9.0,0.01,0.8,0.9,0.190256802561142,2.7375302837747317,0.09296397347096375,0.9,1.0,0.9621122363710276
1800.0,9.0,0.01,0.8,0.9,0.18608775203705624,2.9977458748440515,0.08800070748169052,0.9,1.0,0.9619263381024995
1800.0,8.0,0.01,0.8,0.9,0.19617669153902842,2.8253622056494407,0.058294975393572396,1.0,1.0,0.9618913578514265
1800.0,9.0,0.01,0.8,0.9,0.1746531232859635,2.8853730727664764,0.08569347294983738,0.9,1.0,0.9619869524498389
1800.0,9.0,0.01,0.8,0.9,0.17865090253779373,2.6981440642030545,0.0710311470331799,1.0,1.0,0.9618082035167264
1800.0,9.0,0.01,0.8,0.9,0.15485606188668444,2.777072138213459,0.0024181348154600126,0.9,1.0,0.961905311816726
1800.0,9.0,0.01,0.8,0.9,0.18521828708953367,2.978570619519113,0.02034949116157,0.9,1.0,0.9618934642790548
1800.0,9.0,0.01,0.8,0.9,0.1937044346142127,2.9156559201346126,0.016498357865791125,0.9,1.0,0.9621157844149251
1800.0,9.0,0.01,0.8,0.9,0.15982164871457735,2.733474019355359,0.0063295856580095145,0.9,1.0,0.9618392833340593
1800.0,9.0,0.01,0.8,0.9,0.18738078980546796,2.877661846666803,0.021795842019241663,0.9,1.0,0.961965734729317
1800.0,9.0,0.01,0.8,0.9,0.15000571026207038,2.8406037977356435,0.02363378062771177,0.9,1.0,0.9620777054316196
1800.0,9.0,0.01,0.8,0.9,0.16925402879635446,2.5744795701439767,0.0014764544164306542,0.9,1.0,0.9624186831935765
1800.0,9.0,0.01,0.8,0.9,0.16307191298957724,2.6170248059425694,0.03267711199740404,0.9,1.0,0.9623426644774721
1800.0,9.0,0.01,0.8,0.9,0.16129708272061744,2.56933865264215,0.02902676219998937,0.9,1.0,0.9619468552951627
1800.0,9.0,0.01,0.8,0.9,0.1692496362774127,2.454481879002555,0.03291377510316971,0.9,1.0,0.9619888462336655
1800.0,9.0,0.01,0.8,0.9,0.1633888526434886,2.4957949461511975,0.030844090561913534,0.9,1.0,0.9620342719656939
1800.0,9.0,0.01,0.8,0.9,0.1649351822261233,2.6196743319686866,0.07520222988517476,0.9,1.0,0.9618677642884474
1800.0,9.0,0.01,0.8,0.9,0.15864028654434964,2.543546753592497,0.03989343663824508,0.9,1.0,0.9623852800049912
1800.0,9.0,0.01,0.8,0.9,0.15857874136580985,2.6490799130910556,0.04157370979579781,0.9,1.0,0.9620681925827139
1800.0,9.0,0.01,0.8,0.9,0.1515118847759998,2.552044283684079,0.034721406301765546,0.9,1.0,0.9618225047192919
1800.0,9.0,0.01,0.8,0.9,0.16665062341734546,2.362647460068903,0.037761228649573035,0.9,1.0,0.9622115140440821
1800.0,8.0,0.01,0.8,0.9,0.16856638721719017,2.7168259015729066,0.0504593573328003,0.9,1.0,0.962021494330644
1800.0,9.0,0.01,0.8,0.9,0.15867692384760337,2.4025526286723418,0.04381331378278277,0.9,1.0,0.9618454746601751
1800.0,9.0,0.01,0.8,0.9,0.1605273420889125,2.6523383500075925,0.009854662615244075,1.0,1.0,0.9618072975424974
1800.0,8.0,0.01,0.8,0.9,0.15549726177153692,2.24869143987085,0.036453348589316294,0.9,1.0,0.9617884412437379
1800.0,9.0,0.01,0.8,0.9,0.1537940758507439,2.4225790224920267,0.029813825884090706,0.9,1.0,0.9618917427686648
1800.0,8.0,0.01,0.8,0.9,0.1717676061082827,2.69328389136177,0.00048409519902242043,0.9,1.0,0.9618547694851782
1800.0,9.0,0.01,0.8,0.9,0.1624760501145007,2.60652177701788,0.04627749573632694,0.9,1.0,0.9618395149687347
1800.0,9.0,0.01,0.8,0.9,0.16536572485933673,2.5478441523426327,0.052097699164386356,0.9,1.0,0.9622818227411398
1800.0,9.0,0.01,0.8,0.9,0.17114212841184312,2.5882307241850526,0.054349119271319926,0.9,1.0,0.9622714608870812
1800.0,9.0,0.01,0.8,0.9,0.16388041245463703,2.5098734121560464,0.013283331263458091,0.9,1.0,0.9618765481632447
1800.0,9.0,0.01,0.8,0.9,0.15365498202687566,2.369294202874934,0.04916000964385442,0.9,1.0,0.9620158041057312
1800.0,9.0,0.01,0.8,0.9,0.17591495836356938,2.783335559335,0.043345111866656814,0.9,1.0,0.9622428908519431
