n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,colsample_bylevel,max_delta_step,average_r2
1900.0,8.0,0.010001113090489245,0.8323408758845782,0.8701678919652475,0.18603727380746438,2.6475114278545657,0.05277640363405941,0.9116824456606761,1.0,0.9617359011024714
1800.0,9.0,0.010344733381026107,0.8237138301863137,0.8607159099549555,0.1906176771664027,2.6972847319759077,0.06501952243524305,0.9522171533489648,1.0,0.9618969936847602
1800.0,9.0,0.010023770549937768,0.8274291001683935,0.8345244263626364,0.17864757026734998,2.948963987254629,0.01527609149612353,0.9780778192623986,1.0,0.9617355937336841
1800.0,9.0,0.010020537438074812,0.8207319312324166,0.8440861819420514,0.16943175647586528,2.8596253517460917,0.01620932680038115,0.9822210544986628,1.0,0.9617416281540315
1800.0,9.0,0.010167549155215796,0.8490661034572174,0.8657557986318632,0.18486910200337325,2.968148991687799,0.08595027604245609,0.9481498831003462,1.0,0.9620193973573311
1800.0,9.0,0.010260024496843555,0.872204343355231,0.8627431456152299,0.18505297658200462,2.893401738199901,0.0952535552132179,0.9477316389157455,1.0,0.9618480830065195
1800.0,9.0,0.010192741710076779,0.8581506214364518,0.8406452699010358,0.17400725053908625,2.851825562554952,0.09304869212516302,0.9719870709377236,1.0,0.9618424243806594
1800.0,9.0,0.010236585682489,0.8763262030901462,0.8622454783601311,0.16561135742001068,2.760393878459321,0.09997626049751944,0.9887771998434918,1.0,0.9618731831419387
1800.0,9.0,0.010240166792179298,0.8090742917527728,0.8755627887909353,0.16941213746928402,2.948921355498615,0.06918993517524497,0.9528668533219946,1.0,0.9619662189444795
1800.0,8.0,0.01043097218538317,0.8083917555384335,0.8904016727465408,0.169897476001821,2.1775494615272564,0.06124048810738107,0.9528721696574378,1.0,0.961775572381347
1800.0,9.0,0.010170027687130568,0.8256029914175732,0.8802559050472208,0.15796957347122748,2.9797370115636226,0.049551478004772866,0.9456695147102323,1.0,0.9621345275873496
1800.0,8.0,0.010009833474991632,0.8265695424944244,0.8802352255911822,0.16032712899879387,2.9768828521982607,0.04984138407795024,0.9450291907253422,1.0,0.9618485506056473
