CC_Tem,CC_Speed,CC_Particle Size,CC_Inner Diameter,CC_Length,CC_PhaseA_W_per,CC_PhaseA_O_per,CC_PhaseA_FA_per,CC_PhaseA_TFA_per,CC_PhaseB_O_pKa,CC_PhaseB_O_per,CC_PhaseB_W_per,CC_PhaseB_FA_per,CC_PhaseB_TFA_per,CC_RT-initial,CC_RT-final,CC_time
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
40,0.6,1.7,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,2
37,1,5,4,125,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,95,10
37,1,5,4,125,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,95,10
37,1,5,4,125,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,100,10
40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
40,2,5,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,30
40,2,5,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,30
65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
65,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,10,95,1.6
60,1.2,1.7,2.1,50,99.95,0,0.05,0,-4.3,99.95,0,0.05,0,2,90,1.7
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
40,0.3,1.8,2.1,50,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,95,10
40,0.5,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,100,10
25,1,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,95,12
25,1,3,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,95,15
40,0.65,1.7,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,8
40,0.65,1.7,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,8
40,0.65,1.7,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,8
40,0.65,1.7,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,8
