SubmolPolarityPara,LocalDipoleIndex,NChargeRelative,PChargeRelative,ChargeMeanAbsoulte,ChargeTotalAbsoulte,NChargeMean,NChargeTotal,PChargeMean,PChargeTotal,SumSquareChargeAll,SumSquareChargeO,SumSquareChargeN,SumSquareChargeC,SumSquareChargeH,NChargeAllMax,PChargeAllMax,NChargeOMax,NChargeNMax,NChargeCMax,NChargeHMax,PChargeOMax,PChargeNMax,PChargeCMax,PChargeHMax
0.7294921875,0.19921875,0.09466552734375,0.050537109375,0.088134765625,10.046875,-0.1357421875,-5.0234375,0.06524658203125,5.0234375,1.9140625,0.7314453125,0.5400390625,0.416748046875,0.1968994140625,-0.4755859375,0.25390625,-0.4755859375,-0.35595703125,-0.061553955078125,0.023345947265625,-0.272705078125,-0.0408935546875,0.25390625,0.2105712890625
0.7294921875,0.19580078125,0.0887451171875,0.04736328125,0.08709716796875,10.71875,-0.1339111328125,-5.359375,0.0645751953125,5.359375,2.009765625,0.7314453125,0.60205078125,0.430419921875,0.20849609375,-0.4755859375,0.25390625,-0.4755859375,-0.35595703125,-0.061553955078125,0.023345947265625,-0.272705078125,-0.0408935546875,0.25390625,0.2105712890625
0.73388671875,0.213623046875,0.081787109375,0.04046630859375,0.093017578125,12.0,-0.1666259765625,-6.0,0.06451416015625,6.0,2.37890625,1.173828125,0.5439453125,0.39892578125,0.2340087890625,-0.49072265625,0.242919921875,-0.49072265625,-0.353759765625,-0.061553955078125,0.023345947265625,-0.272705078125,-0.08502197265625,0.242919921875,0.2105712890625
0.63427734375,0.206787109375,0.06689453125,0.041534423828125,0.09356689453125,11.6953125,-0.1580810546875,-5.84765625,0.06646728515625,5.84765625,2.228515625,0.8681640625,0.66845703125,0.41650390625,0.2454833984375,-0.39111328125,0.242919921875,-0.39111328125,-0.353759765625,-0.061553955078125,0.023345947265625,-0.272705078125,-0.08502197265625,0.242919921875,0.2105712890625
0.63427734375,0.2103271484375,0.06280517578125,0.03900146484375,0.0943603515625,12.453125,-0.163818359375,-6.2265625,0.06622314453125,6.2265625,2.392578125,1.009765625,0.66845703125,0.426513671875,0.259521484375,-0.39111328125,0.242919921875,-0.39111328125,-0.353759765625,-0.061553955078125,0.023345947265625,-0.272705078125,-0.08502197265625,0.242919921875,0.2105712890625
0.63427734375,0.190673828125,0.07110595703125,0.04412841796875,0.08734130859375,11.0078125,-0.1375732421875,-5.50390625,0.06396484375,5.50390625,1.998046875,0.58349609375,0.73388671875,0.411865234375,0.231689453125,-0.39111328125,0.242919921875,-0.39111328125,-0.35595703125,-0.061553955078125,0.023345947265625,-0.272705078125,-0.08502197265625,0.242919921875,0.2105712890625
0.63427734375,0.203125,0.063232421875,0.039276123046875,0.09228515625,12.3671875,-0.1546630859375,-6.18359375,0.0657958984375,6.18359375,2.322265625,0.8681640625,0.73046875,0.430419921875,0.257080078125,-0.39111328125,0.242919921875,-0.39111328125,-0.353759765625,-0.061553955078125,0.023345947265625,-0.272705078125,-0.08502197265625,0.242919921875,0.2105712890625
0.63427734375,0.20654296875,0.05963134765625,0.037017822265625,0.09307861328125,13.125,-0.1600341796875,-6.5625,0.06561279296875,6.5625,2.48828125,1.009765625,0.73046875,0.440185546875,0.27099609375,-0.39111328125,0.242919921875,-0.39111328125,-0.353759765625,-0.061553955078125,0.023345947265625,-0.272705078125,-0.08502197265625,0.242919921875,0.2105712890625
0.63427734375,0.2034912109375,0.06097412109375,0.037872314453125,0.09161376953125,12.828125,-0.1527099609375,-6.4140625,0.0654296875,6.4140625,2.3828125,1.068359375,0.599609375,0.426513671875,0.25244140625,-0.39111328125,0.242919921875,-0.39111328125,-0.353759765625,-0.067626953125,0.023345947265625,-0.272705078125,-0.08502197265625,0.242919921875,0.2105712890625
0.828125,0.2320556640625,0.1109619140625,0.0755615234375,0.0997314453125,8.875,-0.14794921875,-4.4375,0.07525634765625,4.4375,1.904296875,0.8251953125,0.396484375,0.480712890625,0.201416015625,-0.49267578125,0.335205078125,-0.49267578125,-0.304443359375,-0.0577392578125,0.0266571044921875,-0.246337890625,-0.06671142578125,0.335205078125,0.296630859375
0.828125,0.2413330078125,0.11370849609375,0.077392578125,0.10443115234375,8.6640625,-0.15478515625,-4.33203125,0.07879638671875,4.33203125,1.8955078125,0.8251953125,0.396484375,0.47509765625,0.1986083984375,-0.49267578125,0.335205078125,-0.49267578125,-0.304443359375,-0.0577392578125,0.0266571044921875,-0.246337890625,-0.06671142578125,0.335205078125,0.296630859375
0.828125,0.2235107421875,0.1083984375,0.07379150390625,0.095703125,9.09375,-0.14208984375,-4.546875,0.0721435546875,4.546875,1.9130859375,0.8251953125,0.396484375,0.486572265625,0.204345703125,-0.49267578125,0.335205078125,-0.49267578125,-0.304443359375,-0.0577392578125,0.0266571044921875,-0.246337890625,-0.06671142578125,0.335205078125,0.296630859375
0.830078125,0.2379150390625,0.111328125,0.07623291015625,0.09625244140625,8.8515625,-0.1475830078125,-4.42578125,0.0714111328125,4.42578125,1.826171875,0.8134765625,0.396484375,0.48876953125,0.126953125,-0.49267578125,0.33740234375,-0.49267578125,-0.304443359375,-0.0577392578125,0.0266571044921875,-0.2462158203125,-0.06671142578125,0.33740234375,0.1724853515625
0.830078125,0.2471923828125,0.11407470703125,0.078125,0.1004638671875,8.640625,-0.154296875,-4.3203125,0.074462890625,4.3203125,1.8173828125,0.8134765625,0.396484375,0.483154296875,0.12408447265625,-0.49267578125,0.33740234375,-0.49267578125,-0.304443359375,-0.0577392578125,0.0266571044921875,-0.2462158203125,-0.06671142578125,0.33740234375,0.1724853515625
