smiles,rt_min,CM_Tem,CM_Speed,CM_Particle Size,CM_Inner Diameter,CM_Length,CM_PhaseA_W_per,CM_PhaseA_O_per,CM_PhaseA_FA_per,CM_PhaseA_TFA_per,CM_PhaseB_O_pKa,CM_PhaseB_O_per,CM_PhaseB_W_per,CM_PhaseB_FA_per,CM_PhaseB_TFA_per,CM_RT-initial,CM_RT-final,CM_time
O=C([C@H](C(C)(C)C)NC(COCCOCCOCCNC(C[C@@H]1N=C(C2=CC=C(NC([C@H](CCCNC(N)=O)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O)=O)C=C2)C6=C(SC(C)=C6C)N7C1=NN=C7C)=O)=O)N8C[C@H](O)C[C@H]8C(NCC9=CC=C(C%10=C(C)N=CS%10)C=C9)=O,3.7,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C(NC1=CC=C(COC(NC2=CC(CCOCC(N[C@@H](C(C)(C)C)C(N3C[C@H](O)C[C@H]3C(NCC4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)=O)=CC(OCCNC(C[C@@H]6N=C(C7=CC=C(Cl)C=C7)C8=C(SC(C)=C8C)N9C6=NN=C9C)=O)=C2)=O)C=C1)[C@H](CCCNC(N)=O)NC(C%10(CCC%10)C(NCCCCCN%11C(C=CC%11=O)=O)=O)=O,3.93,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C([C@H](C(C)(C)C)NC(COC[C@H]1C[C@H](CNC1)COCCNC(C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C4=C(SC(C)=C4C)N5C2=NN=C5C)=O)=O)N6C[C@H](O)C[C@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O,3.23,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C([C@H](C(C)(C)C)NC(CCC1=CC(CCOCCOCC#CC2=CC=C(C3=N[C@@H](CC(NCCS(=O)(O)=O)=O)C4=NN=C(C)N4C5=C3C(C)=C(C)S5)C=C2)=CC(NC(OCC(C=C6)=CC=C6NC([C@H](CCCNC(N)=O)NC(C7(CCC7)C(NCCCCCN8C(C=CC8=O)=O)=O)=O)=O)=O)=C1)=O)N9C[C@H](O)C[C@H]9C(NCC%10=CC=C(C%11=C(C)N=CS%11)C=C%10)=O,3.72,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
O=C([C@H](C(C)(C)C)NC(COCC#CC#CCNC(C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C3=C(SC(C)=C3C)N4C1=NN=C4C)=O)=O)N5C[C@H](OC(OC[C@@H](C)SS(C)(=O)=O)=O)C[C@H]5C(NCC6=CC=C(C7=C(C)N=CS7)C=C6)=O,4.38,50,0.8,3,2.1,30,99.9625,0,0,0.0375,-4.3,99.98125,0,0,0.01875,10,80,6
ClC1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(C)=C(S4)C)C)CC(NCCOCCOCCOCCNC(C[C@@H](C5=CC=C(C=C5)C6=C(C)N=CS6)NC([C@H]7N(C[C@@H](C7)O)C([C@@H](C8=CC(C)=NO8)C(C)C)=O)=O)=O)=O,1.94,45,1.5,2,3,30,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,95,8
Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,6.42,40,2,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,100,10
Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,6.44,40,2,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,100,10
Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,6.44,40,2,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,100,10
Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,4.58,40,2,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,100,10
CCCN(CCCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,6.65,40,2,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,100,10
CCCN(CCCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,6.66,40,2,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,100,10
CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,6.62,40,2,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,100,10
CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@@H](C(=O)N1C[C@@H](O)C[C@@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,6.32,40,2,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,5,100,10
O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC=CC(NCCOCCOCCOCCOCCOCCC(N4CCN(C(C5CCN(C6=CC=C(NC(C7=CN=C(OC8=CC=CC=C8)N=C7)=O)C=C6)CC5)=O)CC4)=O)=C31)=O,13.6,40,2,5,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,30
O=C1N(C2C(N(C)C(CC2)=O)=O)C(C3=CC=CC(NCCOCCOCCOCCOCCOCCC(N4CCN(C(C5CCN(C6=CC=C(NC(C7=CN=C(OC8=CC=CC=C8)N=C7)=O)C=C6)CC5)=O)CC4)=O)=C31)=O,14.5,40,2,5,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,30
ClC1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(C)=C(S4)C)C)CC(NCCOCCOCCOCCOCC#CC(N=CS5)=C5C6=CC=C([C@H](C)NC([C@H]7N(C([C@H](C(C)C)C8=CC(C)=NO8)=O)C[C@H](O)C7)=O)C=C6)=O,1.01,40,1.5,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,2
ClC1=CC=C(C2=N[C@@H](CC(NCCCCCOC3=NOC([C@@H](C(C)C)C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(Cl)C=C5)=O)=O)=C3)=O)C6=NN=C(C)N6C7=C2C(C)=C(C)S7)C=C1,1.11,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C2=N[C@@H](CC(NCCCCCOC3=NOC([C@@H](C(C)C)C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)=O)=O)=C3)=O)C7=NN=C(C)N7C8=C2C(C)=C(C)S8)C=C1,1.04,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C2=N[C@@H](CC(NCCOCCOCCOCCOC3=C([C@H](C)NC([C@H]4N(C([C@H](C(C)C)C5=CC(C)=NO5)=O)C[C@H](O)C4)=O)C=CC(Cl)=C3)=O)C6=NN=C(C)N6C7=C2C(C)=C(C)S7)C=C1,1.08,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C2=N[C@@H](CC(NCCOCCOCCNC(C[C@H](NC([C@H]3N(C([C@H](C(C)C)C4=CC(C)=NO4)=O)C[C@H](O)C3)=O)C5=CC=C(Cl)C=C5)=O)=O)C6=NN=C(C)N6C7=C2C(C)=C(C)S7)C=C1,0.9,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C2=N[C@@H](CC(NCCOCCOCCOCCNC(C[C@H](NC([C@H]3N(C([C@H](C(C)C)C4=CC(C)=NO4)=O)C[C@H](O)C3)=O)C5=CC=C(Cl)C=C5)=O)=O)C6=NN=C(C)N6C7=C2C(C)=C(C)S7)C=C1,1.136,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
