RT(min),RT_Pred,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
13.58,11.267098,12.062189,11.786919,12.449354,11.878644,11.627679,11.27915,11.014715,12.974451,10.968459,11.7308658
2.825,2.3501897,2.2466922,2.1524005,2.2659702,2.282083,2.5208945,2.1938586,2.1825814,2.4608097,2.3637667,2.30192465
2.899,2.472814,2.3367171,2.2590537,2.3555794,2.4822838,2.5839155,2.3549361,2.3932884,2.4598854,2.3684325,2.40669059
2.834,2.461688,2.3095932,2.284883,2.531299,2.4781566,2.6057491,2.4692101,2.362352,2.6731157,2.5750175,2.47510642
2.86,2.4307334,2.3754053,2.4076462,2.5158288,2.5030985,2.6187088,2.4648225,2.3827105,2.6916037,2.5817938,2.49723515
2.895,2.5456371,2.5676818,2.5600579,2.6844413,2.6329446,2.7097435,2.5699725,2.497354,2.867812,2.638565,2.62742097
2.587,2.3498228,2.1410756,1.9813055,2.2976959,2.1040237,2.5525117,1.9532088,1.8269676,2.1704745,2.0472987,2.14243848
1.78,3.5745952,4.019876,3.2871525,3.8967462,3.6108277,4.05092,3.4812675,3.4974275,3.3911314,3.322681,3.6132625
1.78,3.6180944,4.1929007,3.7147777,3.8982763,3.7542202,4.2904763,3.665883,3.6536057,3.5699487,3.488388,3.7846571
1.74,3.5187266,4.019786,3.230385,3.8223875,3.5824633,3.9930751,3.427435,3.4531538,3.3695152,3.324351,3.57412785
1.85,3.3411894,3.7095091,3.112503,3.5042644,3.5127447,3.8614254,3.4098165,3.5214894,3.385979,3.3817441,3.4740665
1.84,3.311005,3.6991093,3.1460125,3.497793,3.5302663,3.8294392,3.3959682,3.4944491,3.4167867,3.4440827,3.4764912
1.83,3.3440907,3.7192245,3.2642732,3.511567,3.62526,3.994254,3.422766,3.522077,3.5074384,3.4467084,3.53576592
1.44,3.8148897,3.9909554,3.3660688,3.952811,3.5634468,3.8459358,3.241156,3.038712,4.1000166,3.2759578,3.61899499
1.59,3.6581037,3.7748435,3.2708435,3.4998507,3.3421018,3.9133615,3.2288005,3.0741153,3.6003697,3.2172225,3.45796127
1.57,3.9705117,4.0878124,3.5216274,4.596516,3.7805502,3.8601315,3.4571779,3.215996,4.3467817,3.447473,3.82845778
1.64,3.3642588,3.3519475,3.3343296,3.3121412,3.526526,3.532356,3.332702,3.3347924,3.3808372,3.5193903,3.3989281
1.64,3.308294,3.330138,3.3313165,3.3564765,3.409056,3.4604566,3.3482387,3.280167,3.3173997,3.4859655,3.36275085
1.62,3.334706,3.3131068,3.3258033,3.2363026,3.5056558,3.5351486,3.325962,3.2258644,3.3498204,3.4541144,3.36064843
1.26,3.444564,3.53582,3.089682,3.2673125,3.1419368,3.6784296,2.980449,2.8263266,3.274466,3.0245233,3.22635098
1.27,3.4918447,3.848923,3.1975853,3.5573833,3.3424363,3.8875988,3.049062,3.0295467,3.4173799,3.151745,3.3973505
1.27,3.6276608,3.7445312,3.1635036,3.7832403,3.392612,3.6619816,3.068476,2.7712688,3.9533563,3.0809512,3.42475818
1.34,3.175983,3.2860062,2.9867225,3.0155497,3.1404006,3.482549,2.9955814,3.1302226,3.1349955,3.1345975,3.1482608
1.33,3.1118674,3.1383812,2.891006,2.9421563,3.1634562,3.3304691,2.940179,3.060109,3.0620325,3.1349404,3.07745971
1.33,3.2263596,3.0573704,3.0289152,2.936327,3.1872308,3.2249374,3.0867987,3.0624366,2.9949806,3.2339013,3.10392576
7.99,8.547014,8.58003,8.521997,8.819214,8.476406,8.64354,8.7706375,8.57034,8.036439,8.548157,8.55137745
4.98,8.178417,8.406243,8.145033,8.428701,8.30632,8.00531,8.4586935,8.174934,8.573307,8.382245,8.30592035
6.12,8.092651,8.643491,8.174026,8.482681,8.131085,8.25031,8.420376,8.394463,8.05807,8.384125,8.3031278
0.87,2.0216098,2.6046762,2.1752338,2.2473443,2.1744785,2.3323836,2.1215558,1.9484521,2.1892633,2.0567641,2.18717615
1.18,2.9379911,3.2062757,2.7935736,2.8936684,2.929373,3.0972853,2.6141312,2.652825,3.1022913,2.6506321,2.88780467
0.83,1.5307857,1.7227806,1.6777067,1.4884079,1.642995,1.7791356,1.5180181,1.3365824,1.8325124,1.3631846,1.5892109
1.25,2.1987777,2.2996693,2.150805,2.1391687,2.2334812,2.61446,1.8414418,1.750192,2.4652739,1.7966728,2.14899424
1.28,3.186346,3.7722106,2.746309,3.0603561,3.074377,3.223246,2.7608428,2.9321065,2.9293692,2.9099452,3.05951084
0.94,2.459432,2.7536309,2.4876833,2.5105603,2.4500852,2.685824,2.2827816,2.2611957,2.5842142,2.352429,2.48278362
1.2,2.9379911,3.2062757,2.7935736,2.8936684,2.929373,3.0972853,2.6141312,2.652825,3.1022913,2.6506321,2.88780467
1.03,2.698252,2.7413237,2.641325,2.6595817,2.7937257,2.6844559,2.5053308,2.848444,2.5904696,2.7712617,2.69341701
1.37,3.8366299,3.6796134,3.5246146,3.5421524,3.6768796,3.5786836,3.2242782,3.641813,3.8513758,3.6277556,3.61837961
1.11,2.8636563,2.8999124,2.6434653,2.747195,2.6737895,2.702066,2.4580739,2.918604,2.2880511,2.9175708,2.71123843
13.6,14.25667,14.954101,13.765398,14.555952,13.907443,13.992011,13.483932,12.313338,15.010775,13.116371,13.9355991
14.5,14.103291,14.605642,13.596149,14.417132,13.863813,14.084048,13.366215,12.135886,14.87239,13.076288,13.8120854
0.54,1.6764141,1.5916272,1.3193946,1.3157508,0.9566884,1.7539024,1.0324488,1.2140708,1.0469563,1.2174389,1.31246923
0.62,1.5978398,1.5851127,1.2567226,1.4250698,0.8872845,1.674245,1.0090592,1.1777425,1.0014764,1.2846578,1.28992103
0.57,1.2223817,1.0111899,0.8949379,0.92858434,0.68815434,1.089272,0.8327985,1.134133,0.6799151,0.964891,0.944625778
0.72,1.4648252,1.2525367,1.0871665,1.1563671,0.890808,1.4635894,0.96041775,1.2267392,0.8368272,1.0026042,1.134188125
0.57,1.2389693,1.147203,0.9465529,1.0831106,0.7947397,1.3067217,0.9558387,1.1578088,0.65709877,1.0474104,1.033545387
1.12,1.9031866,2.2220905,1.5695015,2.1891088,1.979795,2.11209,1.8979464,1.8992751,1.7266711,1.8474106,1.93470756
5.78,9.389018,9.866757,9.1234045,9.810101,9.527954,8.817764,9.020474,8.798961,10.531357,8.980104,9.38658945
5.99,9.394613,9.520015,9.107647,9.734688,9.450214,8.836683,8.910695,8.735253,9.862745,8.972884,9.2525437
6.49,9.575129,9.7521,9.296801,10.1221,9.665182,8.989396,9.048477,8.833089,10.109745,9.0578,9.4449819
6.94,9.825699,9.87826,9.571383,10.440996,9.831648,9.370516,9.265636,8.95419,10.394949,9.267754,9.6801031
7.69,9.930044,9.980126,9.674705,10.600696,9.881235,9.526888,9.277616,9.051684,10.569608,9.292869,9.7785471
5.89,9.251081,9.666549,9.121359,9.623816,9.443432,8.523778,8.871142,8.75279,10.6102495,8.966832,9.28310285
5.97,9.249303,9.324051,9.171132,9.592965,9.329413,8.667998,8.857819,8.716625,9.979864,8.929569,9.1818739
6.16,9.115626,9.081755,8.921719,8.575477,8.934094,8.700802,8.636038,8.634752,9.181333,8.915545,8.8697141
6.9,7.774382,7.2048717,7.6110034,6.8151817,7.2704344,7.5764265,7.1195493,6.992315,7.88694,7.4746914,7.37257954
6.88,9.42102,9.300193,9.025388,9.458272,9.213088,9.075346,8.773161,8.647054,9.964905,9.028529,9.1906956
6.37,7.4117327,7.2898273,7.247255,7.4401097,7.1030087,7.3095994,7.271571,7.4080544,6.9712043,7.4094243,7.28617868
5.96,9.01032,8.95247,8.906164,8.5414505,8.806281,8.6744585,8.633712,8.634942,8.984745,8.861925,8.8006468
10.71,9.9604435,10.783359,10.140166,10.06912,9.605462,9.557823,8.846542,8.875753,10.337087,9.292057,9.74678125
14.46,13.358318,14.058623,13.554923,13.035583,13.183083,13.21668,12.792202,12.196067,14.356052,12.585798,13.2337329
9.72,6.0040717,6.1523604,6.266105,6.1208777,5.996567,5.992115,5.884428,5.7968626,6.1520047,5.914184,6.02795761
8.95,5.487292,5.665215,5.926472,5.711552,5.3890133,5.7177043,5.515421,5.472178,5.821967,5.539411,5.62462256
9.8,6.0221,6.120453,6.2456746,6.0549183,6.0182996,5.9168596,5.9118214,5.763875,6.1495304,5.8822265,6.00857584
9.08,5.507083,5.633546,5.961138,5.7519774,5.4415097,5.676165,5.54099,5.459048,5.852112,5.5078683,5.63314374
