CC2,RT(min),RT_Pred,,,,,,,,,,
Name,Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
Yhhu-8047,7.08,3.260211,1.8073179,3.1473718,3.5729883,3.9626539,4.056343,5.0563693,4.6312876,7.1777983,4.766516,4.14388571
Yhhu-8013,7.13,4.1356306,2.9853115,4.0603757,4.0251637,4.560232,5.0175,5.625068,5.248296,7.8958464,5.1460366,4.86994605
Yhhu-9599,8.59,6.4177275,6.1683254,6.7067,6.0062313,5.523855,6.246195,5.2021174,6.0341463,6.2203093,5.4056687,5.99312759
E7,6.64,6.5207396,6.51676,6.0828977,6.534628,6.607317,8.040449,6.6311297,7.8204927,7.482211,6.5209107,6.87575354
Yhhu-8855,7.42,5.4455748,6.6529903,5.2712674,5.7002926,6.2290134,7.33943,6.6543384,6.3536043,6.7014647,5.7752748,6.21232507
Yhhu-9703,6.55,7.615741,9.058172,8.612396,6.417715,7.4917927,9.831671,7.191837,9.195325,9.097629,7.9288545,8.24411332
