CC2,RT(min),RT_Pred,,,,,,,,,,
Name,Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
Yhhu-8047,7.08,4.007546333,3.931172333,3.90758,3.884184333,4.666364667,3.794118667,3.782883,4.271732,4.6465898,3.784949,4.067712013
Yhhu-8013,7.13,3.976911667,3.960828333,3.950313333,3.878205667,4.713800333,3.834124667,3.748116,4.237013333,4.728309333,3.751582,4.077920467
Yhhu-9599,8.59,4.22099,4.678269333,4.449556667,4.286517333,5.183676,4.650126,4.456281733,4.959142,5.19801,4.320145333,4.64027144
E7,6.64,4.092702667,3.962213333,4.036478,3.957547667,4.768625667,4.197133,3.912089333,4.250377333,4.675355867,3.891111,4.174363387
Yhhu-8855,7.42,4.172631667,4.204340667,4.146165,4.307234333,4.777447133,4.183405,4.090334333,4.557242,5.070887333,4.022473,4.353216047
Yhhu-9703,6.55,4.084839,4.101517533,4.041521333,4.189272667,4.669519667,3.986606933,3.8791774,4.489458667,4.8379768,3.872762524,4.215265252
