CC2,RT(min),RT_Pred,,,,,,,,,,
Name,Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
Yhhu-8047,7.12,3.8815641,2.5098248,3.784924,4.1997433,4.6670837,4.742491,5.7627864,5.2913103,7.8185263,5.462195,4.81204489
Yhhu-8013,7.19,4.7485685,3.6896572,4.7114787,4.6521397,5.263607,5.709009,6.3434634,5.9141283,8.543139,5.8505845,5.54257753
Yhhu-9599,8.18,7.0362577,6.84194,7.363028,6.6332226,6.2350483,6.901659,5.9256167,6.704526,6.8696165,6.1226563,6.66335711
E7,6.87,7.1411314,7.1923275,6.749001,7.1653347,7.3132267,8.561804,7.3571734,8.48602,8.139956,7.2395844,7.53455591
Yhhu-8855,6.8,6.066272,7.328497,5.9379888,6.3309383,6.9350376,7.860853,7.381099,7.0185823,7.359454,6.4939027,6.87126247
Yhhu-9703,7.48,8.236407,9.7374325,9.278763,7.0463924,8.198175,10.350676,7.9175067,9.859906,9.756396,8.646322,8.90279766
