CC1,RT(min),RT_Pred,,,,,,,,,,,
Name,Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average,std
Yhhu-8047,5.2,5.59845,5.865427,5.965723,5.578953,5.3261704,5.244337,4.948328,4.951374,5.5167623,5.0916204,5.40871451,5.409¡À0.339
Yhhu-8013,5.28,5.766265,5.807359,5.93787,5.616102,5.416939,5.7037983,4.953953,5.2240386,5.848565,5.219642,5.54945319,5.549¡À0.311
Yhhu-9599,6.41,5.86151,6.042324,6.270086,6.3531423,5.9972196,5.95762,5.7631607,5.668758,5.717917,5.5009265,5.91326641,5.913¡À0.253
E7,4.9,4.9033732,4.8293576,5.195358,4.8551927,4.9058533,5.011075,4.721411,4.7478714,5.092336,4.6009555,4.88627837,4.886¡À0.169
Yhhu-8855,5.58,5.5814347,5.3969994,5.7334604,5.2771616,5.258378,5.345812,4.882472,5.0117354,5.5955086,4.936291,5.30192531,5.302¡À0.275
Yhhu-9703,4.74,5.184387,5.1110363,5.1992803,4.9773064,5.0752077,5.033736,4.7849417,4.8014946,5.1005893,4.7482533,5.00162326,5.002¡À0.159
