CC2,rmse,mse,mae,mape,mre
xgb,0.41456294,0.171862432,0.351185522,0.047157423,0.047
rf,1.166265869,1.360176076,1.026986729,0.14335464,0.143
fcnn,1.461273949,2.135321553,1.271772752,0.172685495,0.173
GNN_transfer,0.645750518,0.416993731,0.577376403,0.081543762,0.082
