CC2,RT(min),RT_Pred,,,,,,,,,,
Name,Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
Yhhu-8047,7.12,9.25448,8.210262,8.654922,8.662078,8.002358,8.825306,9.183238,8.711428,8.45708,8.378172,8.6339324
Yhhu-8013,7.19,9.307214,8.357006,8.741932,8.95231,8.138466,8.98033,9.229566,8.82422,8.58873,8.567062,8.7686836
Yhhu-9599,8.18,9.312088,8.792404,9.363676,9.155986,8.42863,9.205146,9.623774,8.99191,8.812284,8.898782,9.058468
E7,6.87,7.6796,7.47501,7.440924,7.492502,7.430292,7.650336,7.62123,7.681764,7.484252,7.568722,7.5524632
Yhhu-8855,6.8,7.929004,8.396072,7.96876,8.413244,8.596694,8.130678,7.53198,8.454648,7.856394,9.341702,8.2619176
Yhhu-9703,7.48,7.43842,7.581403429,7.455868,7.580644,7.282712,7.60865,7.7482,7.614986,7.40079,7.552882286,7.526455571
