CC2,rmse,mse,mae,mape,mre
xgb,1.8618524,3.466494361,1.81466389,0.248599002,0.249
rf,3.025583639,9.154156359,2.980208566,0.40907059,0.409
fcnn,2.035372026,4.142739284,1.82176374,0.248484115,0.248
