CC3,RT(min),RT_Pred,,,,,,,,,,
Name,Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
Yhhu-8047,7.12,5.9428954,6.1126328,6.361366,6.7360473,6.1327558,6.2208095,6.0970926,6.3800874,6.1620803,6.846248,6.29920151
Yhhu-8013,7.19,6.768323,6.813405,6.5335484,7.469698,6.6782837,6.2728763,6.3226023,6.040476,6.650375,6.9587755,6.65083632
Yhhu-9599,8.18,7.9120026,7.634212,8.364798,7.8167357,8.802006,8.220796,8.1732645,8.409466,7.285892,7.534282,8.01534548
E7,6.87,8.369866,8.189317,7.808354,8.528863,7.9941907,6.948555,7.019386,8.359538,7.8773646,8.081983,7.91774173
Yhhu-8855,6.8,7.510793,7.5300813,7.385176,7.9240875,7.5740447,6.919808,6.680463,7.386182,7.0931196,7.3199816,7.33237367
Yhhu-9703,7.48,7.3437896,7.456626,6.906647,7.5222178,6.8394194,7.583278,6.9804826,6.6587057,6.7546306,7.15894,7.12047367
