seed,pearson_r2,rmse,mse,mae,mape
seed128,0.963,0.838,0.702,0.511,0.101
seed16,0.991,0.382,0.146,0.264,0.073
seed1,0.967,0.806,0.649,0.488,0.089
seed256,0.93,1.201,1.443,0.469,0.091
seed2,0.987,0.513,0.263,0.329,0.063
seed32,0.901,1.842,3.395,0.892,0.193
seed4,0.97,0.696,0.484,0.447,0.069
seed512,0.97,0.833,0.694,0.55,0.087
seed64,0.972,0.834,0.695,0.541,0.102
seed8,0.933,1.394,1.943,0.663,0.143
average,0.958,0.934,1.041,0.515,0.101
