RT(min),RT_Pred,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
4.18,4.225995,4.241067,4.0673294,4.2149925,4.173555,4.2365017,4.1014204,4.2737904,4.163173,4.251704,4.19495284
4.18,4.0828247,4.181267,4.0873985,4.0971637,4.037635,4.190722,4.0179386,4.190755,4.0518303,4.1364717,4.10740065
4.21,4.1184816,4.1626234,4.06161,4.0776567,4.0417633,4.213158,4.0529947,4.2217994,4.058345,4.146737,4.11551691
4.21,4.0518727,4.1668186,3.946712,4.0945873,3.997961,4.1367416,3.9974005,4.197975,3.9904244,4.129059,4.07095521
4.13,4.177342,4.1502285,4.223995,4.0524516,4.37685,4.253269,4.494803,4.2440777,4.2192416,3.8345745,4.20268329
4.21,4.168295,4.31462,4.255817,4.088866,4.460898,4.390597,4.446266,4.312357,4.266197,3.8896515,4.25935645
4.29,4.1846504,4.3968163,4.35833,4.198346,4.4401717,4.428918,4.417019,4.334342,4.3616347,3.9649775,4.30852056
4.42,4.186018,4.294387,4.358083,4.1960955,4.4458857,4.437406,4.4410114,4.376535,4.3893185,4.029875,4.31546151
4.61,4.1835785,4.4847836,4.566805,4.327243,4.4071856,4.5566344,4.4886765,4.488221,4.474153,4.217084,4.41943646
4.7,4.2461433,4.5783324,4.6559453,4.4096584,4.524279,4.601461,4.5995307,4.5245376,4.5632443,4.32928,4.5032412
4.15,4.072302,4.154439,4.154499,3.9152818,4.2839108,4.1837826,4.2637334,4.1253157,4.1656294,4.022235,4.13411287
4.21,3.966939,4.06474,4.065035,3.9054444,4.1243525,4.114646,4.1274576,4.1581087,4.1291485,4.1210923,4.0776964
4.27,3.8623755,4.1461487,4.0350313,3.8944318,3.9953463,4.100931,4.0314875,4.0833817,4.073228,4.0689893,4.02913511
4.35,3.8296876,4.0819693,3.9435406,3.854962,3.9713469,4.0806723,3.9808772,4.020946,3.979213,4.043127,3.97863419
4.37,3.83118,4.0614796,3.8903878,3.9011934,3.9529,4.018982,3.9651225,4.040816,3.982405,3.9915748,3.96360411
4.75,4.755991,4.6613836,4.7646976,4.7725515,4.446908,4.596262,4.712091,4.8468027,4.6738563,4.463345,4.66938887
4.84,4.5302877,4.5714374,4.59062,4.605161,4.2696724,4.6493144,4.7340913,4.9420185,4.55695,4.410181,4.58597337
4.42,3.8594477,4.0467777,3.9092946,3.8348076,3.9486294,4.087448,3.9939075,4.0288415,3.9824476,3.966159,3.96577606
3.97,4.19003,3.9230335,4.0250115,3.9304614,4.029723,3.8311582,3.98703,4.2404103,3.873841,3.9305105,3.99612094
3.98,4.16112,3.9534729,4.131078,3.9466841,4.0801277,3.8415973,3.9729068,4.2775393,3.9109666,3.9462001,4.02216928
4,4.0637236,4.0162725,4.0735025,3.9834635,4.0250764,3.8694892,3.9747014,4.2046328,3.9001026,4.0093737,4.01203382
4,4.3194184,4.0768404,4.2528124,4.061058,4.2006807,4.1260004,4.1416187,4.403592,4.0820303,4.146241,4.18102923
3.78,4.0743036,4.031426,4.0341005,3.9708385,4.1065493,3.9019344,3.9661918,4.1015186,3.9832177,4.138852,4.03089324
3.83,4.097392,4.0802603,4.0405145,3.9907737,4.111678,3.9491003,3.9960337,4.1094694,4.004856,4.1928244,4.05729023
3.78,4.097392,4.0802603,4.0405145,3.9907737,4.111678,3.9491003,3.9960337,4.1094694,4.004856,4.1928244,4.05729023
3.76,4.2900615,4.267213,3.9116902,4.2998934,4.2351933,4.1715775,4.058692,4.18283,4.252041,4.1637564,4.18329483
6.348,5.2702737,5.3373747,5.281005,5.2184477,4.970672,5.0532503,5.333112,5.974142,4.9691553,5.353408,5.27608407
6.965,5.2395372,5.607852,5.3768067,5.335254,4.882156,5.1170964,5.3899126,5.973602,5.072811,5.4776764,5.34727043
6.513,4.798467,4.840731,4.7149076,4.7298284,4.5009556,4.790593,4.8572965,5.070647,4.451704,4.824681,4.75798111
