RT(min),RT_Pred,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average
4.18,3.7281675,3.930975,2.9529366,3.857252,3.6643274,3.7271824,3.327682,3.6657608,2.6314418,3.2972624,3.47829879
4.18,3.6110106,3.6992855,2.9188313,4.1113033,3.8043077,4.6169186,3.2191882,4.0765505,2.9315975,3.4532301,3.64422233
4.21,3.51575,3.725378,2.9411912,4.015852,3.7845857,4.5182476,3.3071475,3.6710174,2.814883,3.547476,3.58415284
4.21,3.4100523,3.851324,2.8937058,3.7653863,3.636751,4.275381,3.4331546,3.3155181,2.7034328,3.5899947,3.48747006
4.13,4.0736265,2.3461971,3.2411008,3.99209,3.8336618,2.39538,4.14249,3.3086364,3.1573055,3.7556365,3.42461246
4.21,4.244342,2.5775814,3.395184,4.1565037,3.9591577,2.945181,4.117206,3.5010421,3.0992992,3.8549979,3.5850495
4.29,4.460269,2.8756313,3.5365129,4.34342,4.177534,3.5510426,4.2087855,3.7378585,3.197314,3.9782774,3.80666452
4.42,4.702792,3.1378841,3.6649365,4.5437603,4.415098,4.1788006,4.291538,3.9428527,3.478007,4.1762834,4.05319526
4.61,4.7751646,3.4534664,3.8615212,4.7663326,4.6367474,4.848238,4.3848567,4.2700014,3.7974117,4.407721,4.3201461
4.7,4.8819456,3.9005795,4.038296,4.9813976,4.832201,5.5218716,4.5035434,4.5900393,4.1680174,4.6150117,4.60329031
4.15,3.6936522,3.9869137,2.77607,3.669317,3.537649,2.6151524,3.449016,3.23161,2.3239543,3.14382,3.24271546
4.21,3.467761,3.7480984,2.7167344,3.8316476,3.6452882,3.8079205,3.3197474,3.564511,2.5726497,3.285559,3.39599172
4.27,3.3696165,3.5425625,2.64177,4.0737133,3.774248,4.377531,3.2508426,3.675145,2.7140987,3.4470046,3.48665322
4.35,3.2662535,3.6218624,2.655459,3.8613183,3.7284257,4.2540417,3.331592,3.2822235,2.6118648,3.516371,3.41294119
4.37,3.17348,3.7391415,2.5942426,3.6263788,3.5809114,3.9839458,3.4825244,2.928479,2.4882991,3.5740035,3.31714061
4.75,6.5705137,6.615484,6.234425,6.6021786,7.079973,7.227583,6.173969,6.207547,6.2158384,6.8055787,6.57330904
4.84,6.207629,6.752569,5.720608,6.4945126,6.873232,7.53961,5.928737,5.697339,6.0596495,6.5517793,6.38256654
4.42,3.202014,3.1969967,2.6348386,3.200796,3.1507814,3.5517178,2.9515796,2.8301513,2.2124813,3.43141,3.03627667
3.97,4.3205442,4.7691097,4.673613,4.7484493,4.1831837,5.065733,5.1814227,5.2528048,4.73569,5.301947,4.82324974
3.98,4.1118345,4.8031673,4.2594686,4.1223507,3.603708,4.346342,4.8662677,4.454129,3.8198726,5.197272,4.35844124
4,4.021411,4.8259335,4.137032,3.622793,3.4296815,4.019285,4.9683642,4.1956606,3.661639,5.194739,4.20765388
4,5.686267,6.300207,5.7170377,5.5864925,5.140665,6.1033154,6.1703906,6.007245,5.69588,6.6750093,5.90825095
3.78,4.1031065,4.8299313,4.2438016,3.3891046,3.825052,3.858717,5.418224,4.1426363,3.8000362,5.3687806,4.29793901
3.83,4.752948,5.367712,5.0647244,4.4909115,4.6225224,4.6614513,6.154674,4.6739473,4.425433,6.0440736,5.02583975
3.78,4.752948,5.367712,5.0647244,4.4909115,4.6225224,4.6614513,6.154674,4.6739473,4.425433,6.0440736,5.02583975
3.76,4.749774,6.124914,5.571896,5.1617184,5.356531,5.570204,6.5949817,4.302121,5.0860167,6.5189424,5.50370992
6.348,8.560992,8.349646,8.209866,7.9191647,8.114496,5.968794,8.549678,8.388242,8.4867735,7.8878846,8.04355368
6.965,9.20003,8.498449,8.377907,7.899145,8.305796,5.686369,7.9980884,9.672055,8.619098,7.7918916,8.2048829
6.513,9.410724,8.441259,8.559826,8.328772,8.749186,5.4634075,8.955745,8.969998,8.018817,8.859396,8.37571305
