RT(min),RT_Pred,,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average,std
4.2,4.2213974,4.446848,4.0169783,4.2025967,4.2643375,4.4141912,4.154916,4.2411404,4.118419,4.2015886,4.22824131,4.202¡À4.228
4.19,4.1815042,4.288686,4.182687,4.114834,4.370662,4.377404,4.1962276,4.293899,4.164199,4.150882,4.23209848,4.151¡À4.232
4.22,4.254449,4.3715076,4.3100348,4.2074437,4.431325,4.4329224,4.3727255,4.3483152,4.1853805,4.20278,4.31168837,4.203¡À4.312
4.27,4.27569,4.558532,4.382859,4.25568,4.371456,4.5424128,4.524236,4.3990436,4.324811,4.3329945,4.39677149,4.333¡À4.397
4.31,4.345954,4.618398,4.495717,4.3039045,4.4479976,4.5740314,4.581503,4.4995923,4.4727654,4.4246855,4.47645487,4.425¡À4.476
4.19,4.214663,4.1209273,4.0997667,4.1213765,4.301587,4.197155,4.0651484,4.1241603,4.010324,4.1096277,4.13647359,4.110¡À4.136
4.18,4.2644415,4.139739,4.0620546,4.111487,4.1838427,4.2691994,4.137852,4.1998796,4.124175,4.3352747,4.18279455,4.335¡À4.183
4.18,4.1270876,4.088128,4.0354033,3.9985135,4.092481,4.200079,4.0516596,4.13377,4.0097766,4.184159,4.09210576,4.184¡À4.092
4.21,4.1000977,4.0611267,3.99542,3.9906838,4.095628,4.1995993,4.037572,4.126649,3.979539,4.182472,4.07687875,4.182¡À4.077
4.21,4.076934,4.0621576,3.9663572,4.1410823,4.0378222,4.1230373,4.048933,4.1087313,3.9661143,4.121031,4.06522002,4.121¡À4.065
4.13,4.1455836,4.2798467,4.1392913,4.129877,4.369378,4.323621,4.331936,4.190138,4.1329713,4.072592,4.21152349,4.073¡À4.212
4.21,4.1706457,4.413513,4.109282,4.161667,4.3760195,4.4871182,4.2576265,4.25863,4.201552,4.1632805,4.25993344,4.163¡À4.260
4.29,4.2488604,4.36606,4.2381306,4.0899906,4.285982,4.462171,4.279911,4.312685,4.235405,4.1242485,4.26434441,4.124¡À4.264
4.42,4.312784,4.2938957,4.289791,4.165929,4.2905827,4.572881,4.4175367,4.3578176,4.2543964,4.196684,4.31522981,4.197¡À4.315
4.61,4.27713,4.5445013,4.4269676,4.258072,4.3373084,4.593375,4.538984,4.4491878,4.358388,4.289412,4.40733261,4.289¡À4.407
4.7,4.344076,4.5781965,4.5162134,4.2922306,4.4177246,4.6316357,4.6081743,4.5015197,4.4704714,4.394907,4.47551492,4.395¡À4.476
4.15,4.1148987,4.191505,4.0805016,3.9620376,4.1853857,4.2416277,4.2051864,4.154927,4.111959,4.0163445,4.12643732,4.016¡À4.126
4.21,4.0716734,4.0461416,4.0242,3.9197109,4.1172485,4.1858435,4.1783967,4.1813807,4.11182,4.1237793,4.09601946,4.124¡À4.096
4.27,3.9164844,4.0591636,4.018055,3.8957236,4.0678334,4.124022,4.0579543,4.1666245,4.0573606,4.1208572,4.04840786,4.121¡À4.048
4.35,3.857788,4.010043,3.9600348,3.8675296,4.0468473,4.1075068,4.0227118,4.109707,3.982519,4.1205235,4.00852108,4.121¡À4.009
4.37,3.8583455,4.022073,3.9450855,4.0065575,3.9914856,4.0245667,4.0254965,4.1003084,4.004674,4.0544877,4.00330804,4.054¡À4.003
4.75,4.647873,4.6582503,4.7252126,4.726295,4.4656496,4.6787133,4.6018615,4.7676935,4.6716404,4.5490184,4.64922076,4.549¡À4.649
4.84,4.5787377,4.4378653,4.462761,4.517832,4.2070394,4.60631,4.5912275,4.9747014,4.491602,4.450173,4.53182493,4.450¡À4.532
4.42,3.9055824,4.0101357,3.8903775,3.8279836,4.0001135,4.0444107,3.9723687,4.0671425,3.9680722,4.054346,3.97405328,4.054¡À3.974
3.97,4.2055626,3.9221349,4.0925674,3.9339874,4.143734,3.8603888,3.8509948,4.123272,3.9766905,3.9386508,4.00479832,3.939¡À4.005
3.98,4.221921,3.9116805,4.1468115,3.9258459,4.189225,3.9633572,3.916962,4.190148,4.065419,3.9553692,4.04867393,3.955¡À4.049
4,4.1814485,3.9657524,4.121792,3.927436,4.1346455,3.9745612,3.9717119,4.1689477,4.079147,4.0564575,4.05818997,4.056¡À4.058
4,4.392269,4.041299,4.2530637,4.0107837,4.2534566,4.186701,4.0690284,4.331066,4.1691046,4.1162386,4.18230106,4.116¡À4.182
3.78,4.205011,4.0787463,4.108741,3.9487495,4.202753,4.0152555,3.9646406,4.194806,4.0849705,4.1400185,4.09436919,4.140¡À4.094
3.83,4.2072964,4.116077,4.1449547,3.9924097,4.185524,4.0352945,4.0015054,4.1801043,4.115505,4.222253,4.1200924,4.222¡À4.120
3.78,4.2072964,4.116077,4.1449547,3.9924097,4.185524,4.0352945,4.0015054,4.1801043,4.115505,4.222253,4.1200924,4.222¡À4.120
3.76,4.3129845,4.240259,4.0727944,4.259033,4.209427,4.2011013,4.027093,4.2112017,4.176901,4.1824665,4.18932614,4.182¡À4.189
6.348,5.018189,5.0796156,5.1576715,5.0114055,4.6701236,5.039907,5.147243,5.8802013,4.642356,5.0521817,5.06988942,5.052¡À5.070
6.965,4.9591784,5.298156,5.1947775,4.982371,4.5893683,5.161668,5.3204794,5.8774314,4.638201,5.1392994,5.11609304,5.139¡À5.116
6.513,4.5054116,4.738596,4.6578875,4.5917153,4.241239,4.608648,4.6610627,4.872476,4.174317,4.694177,4.57455301,4.694¡À4.575
